,phrase,label,sentiment,subjectivity,language,count
Deutschland,Deutschland,LOC,0.055870020964360584,0.0990566037735849,de,318
Berlin,Berlin,LOC,0.02816091954022989,0.06178160919540229,de,116
Russland,Russland,LOC,-0.024418604651162787,0.0686046511627907,de,86
Ukraine,Ukraine,LOC,0.03549382716049382,0.043209876543209874,de,81
Europa,Europa,LOC,-0.022514619883040928,0.04970760233918129,de,57
Deutschlands,Deutschlands,LOC,0.11258503401360544,0.16802721088435377,de,49
Gaspreisbremse,Gaspreisbremse,LOC,0.09583333333333335,0.0,de,36
Brüssel,Brüssel,LOC,-0.0375,0.0625,de,32
Bund,Bund,LOC,-0.008641975308641978,0.012345679012345678,de,27
Österreich,Österreich,LOC,0.019230769230769232,0.0,de,26
Frankreich,Frankreich,LOC,0.041333333333333326,0.026666666666666665,de,25
Ostsee,Ostsee,LOC,-0.11739130434782609,0.13043478260869565,de,23
USA,USA,LOC,0.06136363636363637,0.06818181818181818,de,22
Kiew,Kiew,LOC,-0.0925,0.0,de,20
Europas,Europas,LOC,0.03157894736842105,0.07894736842105263,de,19
Russlands,Russlands,LOC,0.04375,0.125,en,16
"Podcasts
","Podcasts
",LOC,0.6999999999999998,0.0,de,15
China,China,LOC,-0.05999999999999998,0.03333333333333333,de,15
Deutschland.,Deutschland.,LOC,0.06666666666666667,0.06666666666666667,de,15
Audioinhalten,Audioinhalten,LOC,0.6999999999999998,0.0,de,15
EU-Gipfel,EU-Gipfel,LOC,0.21333333333333335,0.1,de,15
Norwegen,Norwegen,LOC,0.2133333333333333,0.05333333333333334,de,15
Düsseldorf,Düsseldorf,LOC,0.2214285714285714,0.14285714285714285,de,14
Italien,Italien,LOC,0.1576923076923077,0.19230769230769232,de,13
Staaten,Staaten,LOC,0.29444444444444445,0.18055555555555555,de,12
Alpen,Alpen,LOC,-0.08333333333333333,0.0,de,12
Lubmin,Lubmin,LOC,-0.05454545454545454,0.0,de,11
Polen,Polen,LOC,0.15454545454545454,0.09090909090909091,de,11
Lecks,Lecks,LOC,0.11363636363636363,0.0,de,11
Schweden,Schweden,LOC,0.1409090909090909,0.0,de,11
Stadt,Stadt,LOC,0.025,0.15833333333333333,de,10
Niedersachsen,Niedersachsen,LOC,-0.025000000000000012,0.05,de,10
Katar,Katar,LOC,0.19,0.24,de,10
Russland.,Russland.,LOC,-0.13999999999999999,0.5,de,10
Washington,Washington,LOC,-0.1111111111111111,0.0,de,9
Nordsee,Nordsee,LOC,-0.03333333333333334,0.1111111111111111,de,9
Dänemark,Dänemark,LOC,0.25,0.0,de,9
Paris,Paris,LOC,0.125,0.0,de,8
Türkei,Türkei,LOC,-0.25,0.25,de,8
Wilhelmshaven,Wilhelmshaven,LOC,-0.5,0.0,de,8
Ägypten,Ägypten,LOC,-0.15,0.25,de,8
Bundesrepublik,Bundesrepublik,LOC,-0.5,0.0,de,8
Österreichs,Österreichs,LOC,0.042857142857142864,0.0,de,7
Luxemburg,Luxemburg,LOC,0.19999999999999998,0.0,de,7
Br\u00fcssel,Br\u00fcssel,LOC,0.0,0.0,de,7
Schweiz,Schweiz,LOC,0.19999999999999998,0.0,de,7
Kreml,Kreml,LOC,-0.5285714285714286,0.0,de,7
Ukraine-Kriegs,Ukraine-Kriegs,LOC,-0.5214285714285715,0.07142857142857142,de,7
Sachsens,Sachsens,LOC,0.19999999999999998,0.0,de,7
Bremen,Bremen,LOC,-0.4714285714285714,0.0,de,7
Hamburg,Hamburg,LOC,0.19999999999999998,0.0,de,7
Iran,Iran,LOC,0.07142857142857142,0.07142857142857142,de,7
München,München,LOC,0.0,0.14285714285714285,de,7
Spaniens,Spaniens,LOC,-0.049999999999999996,0.14285714285714285,de,7
Frankfurt,Frankfurt,LOC,0.14999999999999997,0.07142857142857142,de,7
Moskau,Moskau,LOC,-0.14285714285714285,0.0,de,7
Sachsen,Sachsen,LOC,0.0,0.0,de,6
US-Präsident,US-Präsident,LOC,0.0,0.3333333333333333,de,6
Stromausfällen,Stromausfällen,LOC,-0.3333333333333333,0.0,de,6
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.0,0.0,de,6
Japan,Japan,LOC,-0.025000000000000005,0.0,de,6
Nord-Stream-Pipelines,Nord-Stream-Pipelines,LOC,0.13999999999999999,0.4,de,5
Brunsbüttel,Brunsbüttel,LOC,-0.16999999999999998,0.0,de,5
Griechenland,Griechenland,LOC,0.27999999999999997,0.0,de,5
Bulgarien,Bulgarien,LOC,0.41999999999999993,0.0,de,5
Stade,Stade,LOC,-0.16999999999999998,0.0,de,5
der Schweiz,der Schweiz,LOC,-0.06000000000000001,0.0,de,5
Wien,Wien,LOC,-0.2,0.0,de,5
Brandenburg,Brandenburg,LOC,0.0,0.2,de,5
Bundeswirtschaftsminister,Bundeswirtschaftsminister,LOC,0.0,0.0,de,5
Großbritannien,Großbritannien,LOC,0.030000000000000006,0.0,de,5
Berlins,Berlins,LOC,0.13999999999999999,0.6,de,5
Winter.,Winter.,LOC,0.0,0.2,de,5
Rehden,Rehden,LOC,0.0,0.0,de,4
London,London,LOC,-0.2125,0.0,de,4
Libanon,Libanon,LOC,0.0,0.5,de,4
Spanien,Spanien,LOC,-0.175,0.0,de,4
Ungarn,Ungarn,LOC,0.0,0.5,de,4
Brandenburgs,Brandenburgs,LOC,0.25,0.0,de,4
Strompreisbremse,Strompreisbremse,LOC,-0.175,0.0,de,4
Qualitätsartikel,Qualitätsartikel,LOC,-1.0,0.0,de,4
Freiburg,Freiburg,LOC,-0.75,0.0,de,4
A,A,LOC,0.0,0.0,de,4
Glühwein-Genuss,Glühwein-Genuss,LOC,0.6,0.0,de,4
Arbeitsplatz,Arbeitsplatz,LOC,0.0,0.25,de,4
…,…,LOC,0.25,0.0,de,4
Gaseinkauf,Gaseinkauf,LOC,0.175,0.0,de,4
Prag,Prag,LOC,0.175,0.0,de,4
den USA,den USA,LOC,0.26249999999999996,0.125,de,4
Brüssel.,Brüssel.,LOC,0.0,0.0,de,4
Norwegens,Norwegens,LOC,0.10000000000000002,0.0,de,3
Finanzminister,Finanzminister,LOC,-0.1277777777777778,0.1111111111111111,de,3
Harz,Harz,LOC,0.0,0.0,de,3
Japaner,Japaner,LOC,0.6999999999999998,0.0,de,3
Erde,Erde,LOC,0.0,0.0,de,3
Lustenau,Lustenau,LOC,0.0,0.0,de,3
Leyen,Leyen,LOC,0.4666666666666666,0.0,de,3
Italiens,Italiens,LOC,0.4666666666666666,0.0,de,3
Steiermark,Steiermark,LOC,-0.10000000000000002,0.0,de,3
Qatar,Qatar,LOC,-0.43333333333333335,0.0,de,3
Bornholm,Bornholm,LOC,0.0,0.0,de,3
Arosa,Arosa,LOC,0.0,0.0,de,3
Knappes,Knappes,LOC,0.0,0.0,de,3
Oberösterreich,Oberösterreich,LOC,0.2333333333333333,0.0,de,3
Moldawien,Moldawien,LOC,0.2333333333333333,0.0,de,3
