,phrase,label,sentiment,subjectivity,language,count
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,141
…,…,MISC,2.1483333333333325,1.4466666666666668,de,139
deutschen,deutschen,MISC,,,de,94
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,59
deutsche,deutsche,MISC,,,de,53
russischen,russischen,MISC,,,de-DE,50
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,40
europäischen,europäischen,MISC,,,de,27
russisches,russisches,MISC,,,de,26
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,25
russische,russische,MISC,,,de,22
Winter.,Winter.,MISC,1.3299999999999998,0.0,de,21
Deutsche,Deutsche,MISC,,,de,19
Deutschen,Deutschen,MISC,,,de,19
Gaskrise,Gaskrise,MISC,,,de-DE,18
Nord Stream 2,Nord Stream 2,MISC,,,de,17
russischer,russischer,MISC,,,de,15
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,15
ukrainische,ukrainische,MISC,,,de,15
Gaspreisbremse.,Gaspreisbremse.,MISC,,,de,15
russischem,russischem,MISC,,,de,14
DER SPIEGEL.,DER SPIEGEL.,MISC,,,de,14
Berliner,Berliner,MISC,,,de,14
Gaspreisbremse,Gaspreisbremse,MISC,0.029729729729729724,0.0,de,13
Millionen,Millionen,MISC,0.7,0.0,de,11
europäische,europäische,MISC,,,de,11
Ukrainer,Ukrainer,MISC,,,de,11
Zeit,Zeit,MISC,,,de,10
ukrainischen,ukrainischen,MISC,,,de,9
Gas-Pipelines Nord Stream 1,Gas-Pipelines Nord Stream 1,MISC,,,de,9
LNG-Terminal,LNG-Terminal,MISC,,,de,9
n-tv,n-tv,MISC,,,de,8
Deutschland.,Deutschland.,MISC,0.17647058823529413,0.0,de,8
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,8
ePaper,ePaper,MISC,,,de,8
\u00fcberall.,\u00fcberall.,MISC,,,de,8
deutsch-französische,deutsch-französische,MISC,,,de,8
RT DE.,RT DE.,MISC,,,de,7
Wirtschaftsministerium,Wirtschaftsministerium,MISC,,,de,7
soziale,soziale,MISC,,,de,7
französische,französische,MISC,,,de,6
