,phrase,label,sentiment,subjectivity,language,count
…,…,PER,0.028409090909090905,0.07954545454545454,de,44
Scholz,Scholz,PER,0.031249999999999986,0.020833333333333332,de,24
Gaspreisbremse,Gaspreisbremse,PER,0.11304347826086956,0.0,de,23
Olaf Scholz,Olaf Scholz,PER,0.2666666666666667,0.03333333333333333,de,20
Robert Habeck,Robert Habeck,PER,0.01176470588235294,0.058823529411764705,de,17
Putin,Putin,PER,-0.030769230769230764,0.0,de,13
Lindner,Lindner,PER,-0.04230769230769231,0.038461538461538464,de,13
Putins,Putins,PER,-0.05,0.1,de,10
Freier,Freier,PER,0.7000000000000001,0.0,de,8
Gaspreisdeckel,Gaspreisdeckel,PER,0.0,0.0,de,8
Christian Lindner,Christian Lindner,PER,-0.03333333333333333,0.047619047619047616,de,7
Wladimir Putin,Wladimir Putin,PER,0.09999999999999999,0.0,de,7
Habeck,Habeck,PER,0.0,0.2,de,5
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,-0.07999999999999999,0.0,de,5
Energiesparen,Energiesparen,PER,0.0,0.0,de,4
Explosionen,Explosionen,PER,0.0,0.0,de,4
Preisbremse,Preisbremse,PER,0.0,0.0,de,4
Klaus Müller,Klaus Müller,PER,0.07500000000000001,0.0,de,4
Angela Merkel,Angela Merkel,PER,0.85,0.1,de,4
Michael Kretschmer,Michael Kretschmer,PER,0.0,0.0,de,4
Kretschmer,Kretschmer,PER,0.35,0.0,de,4
Merkel,Merkel,PER,0.25,0.0,de,4
Gaskrise,Gaskrise,PER,0.48666666666666664,0.0,de,3
Altkanzlerin Merkel,Altkanzlerin Merkel,PER,1.0,0.0,de,3
Bundesnetzagentur,Bundesnetzagentur,PER,-0.2333333333333333,0.0,de,3
Baerbock,Baerbock,PER,0.2833333333333333,0.0,de,3
Gabor Steingart,Gabor Steingart,PER,0.2333333333333333,0.0,de,3
Veronika Grimm,Veronika Grimm,PER,0.0,0.0,de,3
Liftbetreiber,Liftbetreiber,PER,0.0,0.0,de,3
Leyen,Leyen,PER,-0.3333333333333333,0.0,de,3
Macron,Macron,PER,0.2333333333333333,0.0,de,3
Siegfried Russwurm,Siegfried Russwurm,PER,0.0,0.0,de,2
"Klaus Müller, Bürger","Klaus Müller, Bürger",PER,-0.25,0.25,de,2
nan,nan,PER,0.925,0.0,de,2
Erdogan,Erdogan,PER,0.0,0.0,de,2
BILDplus,BILDplus,PER,0.07916666666666666,0.2,de,2
Steigende,Steigende,PER,-0.85,0.0,de,2
Selenskyj,Selenskyj,PER,0.35,0.0,de,2
Rüdiger Bachmann,Rüdiger Bachmann,PER,-0.85,0.0,de,2
Michael Vassiliadis,Michael Vassiliadis,PER,0.0,0.0,de,2
Erdgas,Erdgas,PER,0.29166666666666663,0.5833333333333333,de,2
Schröder-Prozess,Schröder-Prozess,PER,-0.7,0.0,de,2
Max Kruse,Max Kruse,PER,0.0,0.0,de,2
Schmidhofer,Schmidhofer,PER,-0.35,0.0,de,2
Frierende,Frierende,PER,0.0,0.0,de,2
Gaspreisdeckel.,Gaspreisdeckel.,PER,-0.35,0.0,de,2
Ãœberall,Ãœberall,PER,0.0,0.0,de,2
Hendrik Wüst,Hendrik Wüst,PER,-1.0,0.0,de,2
Praxisräume,Praxisräume,PER,0.0,0.0,de,2
Kassenärzte-Chef Gassen,Kassenärzte-Chef Gassen,PER,-0.7,0.0,de,2
